"Наименование","ИНН","Ссылка на сайт","Номер телефона","Все почты"
"ООО ""Вкс-Нск""","5404061576","http://vks-nsk.ru","+7 (383) 373-47-60 +7 913 913-42-85 +7 913 395-08-88","vks-nsk@bk.ru,b.anna@mail.ru"
"ООО ""Промышленная Мебель""","7810438236","http://gresson.ru","+7 (831) 429-07-49 +7 (812) 207-15-25 +7 800 511-45-90 +7 931 583-43-30 +7 (495) 118-06-34 +7 (343) 318-01-78 +7 (342) 278-33-23 +7 (39031) 2-30-25","zakaz@gresson.ru,msk@gresson.ru,spb@gresson.ru"
"ООО ""Энергия-Источник""","7451082640","http://eni-bbmv.ru","+7 (351) 751-23-42 +7 (351) 749-92-02 +7 989 113-26-54 +7 (351) 742-44-47 +7 (351) 749-93-55 +7 (351) 749-93-60 +7 (351) 239-53-60 +7 (495) 771-72-72","info@eni-bbmv.ru,info@en-i.ru,kgv@bbmv.ru,support@en-i.ru,perm@bbmv.ru,uz@bbmv.ru,burtsev@en-i.ru,order@bbmv.ru"
"ООО ""НПО ""НефтехГазМаш""","1324001535","http://ngmrm.ru","+7 (83451) 6-24-15 +7 (83451) 6-10-32 +7 (83451) 4-12-60 +7 (83451) 6-10-24 +7 (83451) 6-28-02 +7 927 640-20-44 +7 (83451) 6-34-13 +7 927 642-15-63","neftehgazmash@mail.ru,ngm.ruz@mail.ru,pvkas@yandex.ru,opp.ngm@mail.ru,ok_ngm@mail.ru"
"ООО ""Грильяж""","5612160070","http://www.xn----7sbkbfjjeldppm6aelo4qzbg.xn--p1ai","+7 (3532) 42-27-55 +7 903 360-01-06 +7 903 360-07-01 +7 903 360-15-07 +7 905 819-57-11 +7 961 942-27-55 +7 987 899-25-47 +7 903 330-51-77 +7 903 365-85-79 +7 (3532) 25-09-39","ipbondarlp@gmail.com,dostavka.konditer56@yandex.ru,253925@bk.ru"
"АО ""Волжские Краски""","7604169595","http://volgacoatings.ru","+7 (4852) 73-39-34 +7 (4852) 58-76-19 +7 (4852) 58-76-54 +7 (4852) 58-64-67 +7 (4852) 58-76-53 +7 (4852) 72-12-21 +7 915 970-87-77 +7 (4852) 58-76-87","glazov@lka.ru,konin@lka.ru,shikhmareva@lka.ru,burov-aa@yandex.ru,bessudnov@lka.ru,baydin@lka.ru"
"ООО ""Гранат Био Тех""","5010051363","http://granatbio.ru","+7 (495) 103-41-16","granatbio@granatbio.ru,info@granatbio.ru,s.bondarenko@granatbio.ru,a.shishov@granatbio.ru,e.monakhova@granatbio.ru,a.burlachenko@granatbio.ru"
"ООО ""АМА""","7826700182","http://ama.org.ru","+7 (812) 388-89-10 +7 (812) 371-85-55 +7 (812) 448-88-88","ama.org.spb@gmail.com"
"ООО ""Альянсстройбетонъ""","5007058048","http://asbeton.ru","+7 (495) 744-08-66 +7 901 511-47-25 +7 901 530-97-33 +7 926 918-88-70 +7 (495) 506-82-60 +7 985 916-54-75","asb@asbeton.ru,info@asbeton.ru"
"ООО ""Раритэк Инжиниринг""","1650333626","http://fr-raritek.ru","+7 (8552) 77-89-55 +7 (8552) 77-89-56 +7 (8552) 25-36-61","not342112@yandex.ru,tender-inzh@raritek.ru"
"ООО ""ПК ЛИТПРОМ""","7816492511","http://pklitprom.ru","+7 981 681-11-18 +7 911 097-00-53","info@pklitprom.ru"
"ООО ""Тент-Опт""","5809004713","http://tentoptom.ru","+7 995 577-52-45 +7 986 734-67-50 +7 958 111-94-35 +7 927 395-98-28 +7 958 111-07-96 +7 996 801-15-16","tentopt2020@gmail.com,info@tentoptom.ru,tentopt@mail.ru"
"ООО ""Демерсус Сервайс""","3917052887","http://roto-okna.ru","","medkov@myroto.ru,aap@myroto.ru,office@myroto.ru"
"ООО ""Рефэлектрокомплект""","6453129050","http://display-saratov.ru","+7 (8452) 57-28-53 +7 960 356-69-46 +7 927 223-10-82",""
"ООО ""СТ-Монтаж""","274166946","http://ctmsteel.ru","+7 (34767) 4-34-74 +7 917 463-46-92","info@st-montage.ru,st-montage@mail.ru"
